,ft_hash,topic,livefyre_id
123,82009e04-941b-3f6f-a200-1239fcba7a6d,Russia,ODIwMDllMDQtOTQxYi0zZjZmLWEyMDAtMTIzOWZjYmE3YTZk
124,23cde2b2-7e86-11e6-8e50-8ec15fb462f4,Russia,MjNjZGUyYjItN2U4Ni0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
125,b103d616-7e6b-11e6-bc52-0c7211ef3198,Russia,YjEwM2Q2MTYtN2U2Yi0xMWU2LWJjNTItMGM3MjExZWYzMTk4
126,ddaa91a1-cb12-30c4-a8dd-f679aad2e980,Russia,ZGRhYTkxYTEtY2IxMi0zMGM0LWE4ZGQtZjY3OWFhZDJlOTgw
127,de4fa3dc-7e81-11e6-bc52-0c7211ef3198,Russia,ZGU0ZmEzZGMtN2U4MS0xMWU2LWJjNTItMGM3MjExZWYzMTk4
128,573f9264-7e48-11e6-bc52-0c7211ef3198,Russia,NTczZjkyNjQtN2U0OC0xMWU2LWJjNTItMGM3MjExZWYzMTk4
129,92d0caa-7b2e-11e6-ae24-f193b105145,Russia,OTJkMGNhYS03YjJlLTExZTYtYWUyNC1mMTkzYjEwNTE0NQ..
130,dd04eb10-7e4d-11e6-8e50-8ec15fb462f4,Russia,ZGQwNGViMTAtN2U0ZC0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
131,bfe6d826-7e53-11e6-8e50-8ec15fb462f4,Russia,YmZlNmQ4MjYtN2U1My0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
132,54205551-3354-3644-80bc-c97506ceb9b0,Russia,NTQyMDU1NTEtMzM1NC0zNjQ0LTgwYmMtYzk3NTA2Y2ViOWIw
133,1a25a948-7da0-11e6-8e50-8ec15fb462f4,Russia,MWEyNWE5NDgtN2RhMC0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
134,6303b4ff-1710-3f47-b718-ecdd4a783ad1,Russia,NjMwM2I0ZmYtMTcxMC0zZjQ3LWI3MTgtZWNkZDRhNzgzYWQx
135,79639a-7e3a-11e6-bc52-0c7211ef3198,Russia,Nzk2MzlhLTdlM2EtMTFlNi1iYzUyLTBjNzIxMWVmMzE5OA..
136,236f46cc-0545-3e58-bc69-27b1838b32b0,Russia,MjM2ZjQ2Y2MtMDU0NS0zZTU4LWJjNjktMjdiMTgzOGIzMmIw
137,1b1fd7f0-7b53-11e6-ae24-f193b105145,Russia,MWIxZmQ3ZjAtN2I1My0xMWU2LWFlMjQtZjE5M2IxMDUxNDU.
138,7cc7b0da-7dd9-11e6-bc52-0c7211ef3198,Russia,N2NjN2IwZGEtN2RkOS0xMWU2LWJjNTItMGM3MjExZWYzMTk4
139,89a349a4-7da2-11e6-8e50-8ec15fb462f4,Russia,ODlhMzQ5YTQtN2RhMi0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
140,be32691e-7d72-11e6-8e50-8ec15fb462f4,Russia,YmUzMjY5MWUtN2Q3Mi0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
141,b4d824d2-7db1-11e6-bc52-0c7211ef3198,Russia,YjRkODI0ZDItN2RiMS0xMWU2LWJjNTItMGM3MjExZWYzMTk4
142,8298fa0e-7da8-11e6-8e50-8ec15fb462f4,Russia,ODI5OGZhMGUtN2RhOC0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
143,6346575e-7d90-11e6-8e50-8ec15fb462f4,Russia,NjM0NjU3NWUtN2Q5MC0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
144,3973a208-7da2-11e6-8e50-8ec15fb462f4,Russia,Mzk3M2EyMDgtN2RhMi0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
145,b140fc70-75e3-11e6-bf48-b372cdb1043a,Russia,YjE0MGZjNzAtNzVlMy0xMWU2LWJmNDgtYjM3MmNkYjEwNDNh
146,5e506ae6-7d7c-11e6-8e50-8ec15fb462f4,Russia,NWU1MDZhZTYtN2Q3Yy0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
147,4c6b4e22-7bf1-11e6-ae24-f193b105145,Russia,NGM2YjRlMjItN2JmMS0xMWU2LWFlMjQtZjE5M2IxMDUxNDU.
148,f9045418-7d21-11e6-bc52-0c7211ef3198,Russia,ZjkwNDU0MTgtN2QyMS0xMWU2LWJjNTItMGM3MjExZWYzMTk4
149,038a60b8-7bfa-11e6-ae24-f193b105145,Russia,MDM4YTYwYjgtN2JmYS0xMWU2LWFlMjQtZjE5M2IxMDUxNDU.
150,70d27bea-7c24-11e6-ae24-f193b105145,Russia,NzBkMjdiZWEtN2MyNC0xMWU2LWFlMjQtZjE5M2IxMDUxNDU.
151,6ed3c668-7a9a-11e6-ae24-f193b105145,Russia,NmVkM2M2NjgtN2E5YS0xMWU2LWFlMjQtZjE5M2IxMDUxNDU.
152,36f47240-7c0e-11e6-ae24-f193b105145,Russia,MzZmNDcyNDAtN2MwZS0xMWU2LWFlMjQtZjE5M2IxMDUxNDU.
153,f5998e8-7c21-11e6-b837-eb4b4333ee43,Russia,ZjU5OThlOC03YzIxLTExZTYtYjgzNy1lYjRiNDMzM2VlNDM.
154,14ceb2d4-7c1d-11e6-ae24-f193b105145,Russia,MTRjZWIyZDQtN2MxZC0xMWU2LWFlMjQtZjE5M2IxMDUxNDU.
155,d7155629-e713-31bb-8d17-04e09f0b7818,Russia,ZDcxNTU2MjktZTcxMy0zMWJiLThkMTctMDRlMDlmMGI3ODE4
156,8940e113-bb9b-31ce-85a7-ceede7c204c0,Russia,ODk0MGUxMTMtYmI5Yi0zMWNlLTg1YTctY2VlZGU3YzIwNGMw
157,6d37a1d4-630d-399b-a900-03c4f69153b8,Russia,NmQzN2ExZDQtNjMwZC0zOTliLWE5MDAtMDNjNGY2OTE1M2I4
158,3a9a5c5-e9b6-3301-8428-d48b3070dc9b,Russia,M2E5YTVjNS1lOWI2LTMzMDEtODQyOC1kNDhiMzA3MGRjOWI.
159,5d0070a2-79c9-11e6-97ae-647294649b28,Russia,NWQwMDcwYTItNzljOS0xMWU2LTk3YWUtNjQ3Mjk0NjQ5YjI4
160,28534ee2-7b95-11e6-ae24-f193b105145,Russia,Mjg1MzRlZTItN2I5NS0xMWU2LWFlMjQtZjE5M2IxMDUxNDU.
161,7ee6077e-7bed-11e6-ae24-f193b105145,Russia,N2VlNjA3N2UtN2JlZC0xMWU2LWFlMjQtZjE5M2IxMDUxNDU.
162,23532bc2-7bf1-11e6-b837-eb4b4333ee43,Russia,MjM1MzJiYzItN2JmMS0xMWU2LWI4MzctZWI0YjQzMzNlZTQz
163,bac3a6ce-7b4e-11e6-ae24-f193b105145,Russia,YmFjM2E2Y2UtN2I0ZS0xMWU2LWFlMjQtZjE5M2IxMDUxNDU.
164,d8495c86-7b47-11e6-b837-eb4b4333ee43,Russia,ZDg0OTVjODYtN2I0Ny0xMWU2LWI4MzctZWI0YjQzMzNlZTQz
165,1b3d33d8-cb67-36a1-9f6d-b4e6e3d5dc46,Russia,MWIzZDMzZDgtY2I2Ny0zNmExLTlmNmQtYjRlNmUzZDVkYzQ2
166,61f83c46-d2b7-3709-919e-090906efa464,Russia,NjFmODNjNDYtZDJiNy0zNzA5LTkxOWUtMDkwOTA2ZWZhNDY0
168,91b4fcaa-7a64-11e6-ae24-f193b105145,Russia,OTFiNGZjYWEtN2E2NC0xMWU2LWFlMjQtZjE5M2IxMDUxNDU.
169,033783f2-7a51-11e6-ae24-f193b105145,Russia,MDMzNzgzZjItN2E1MS0xMWU2LWFlMjQtZjE5M2IxMDUxNDU.
170,8d00e504-7b3e-11e6-ae24-f193b105145,Russia,OGQwMGU1MDQtN2IzZS0xMWU2LWFlMjQtZjE5M2IxMDUxNDU.
171,a9f7df66-7b55-11e6-ae24-f193b105145,Russia,YTlmN2RmNjYtN2I1NS0xMWU2LWFlMjQtZjE5M2IxMDUxNDU.
